id,tk_chunk_id,contract_clause,tk_evidence,label
E026,art:136:part:6:sub:0,Заработная плата выплачивается два раза в месяц: 5-го и 20-го числа.,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретная дата выплаты заработной платы устанавливается правилами внутреннего трудового распорядка, коллективным договором или трудовым договором не позднее 15 календарных дней со дня окончания периода, за который она начислена.",entailment
E027,art:136:part:9:sub:0,Оплата ежегодного отпуска производится не позднее чем за три дня до его начала.,Оплата отпуска производится не позднее чем за три дня до его начала.,entailment
E028,art:140:part:1:sub:0,"При прекращении трудового договора все суммы, причитающиеся работнику, выплачиваются в день увольнения.","При прекращении трудового договора выплата всех сумм, причитающихся работнику от работодателя, производится в день увольнения работника. Если работник в день увольнения не работал, то соответствующие суммы должны быть выплачены не позднее следующего дня после предъявления уволенным работником требования о расчете.",entailment
E029,art:152:part:1:sub:0,"Сверхурочная работа оплачивается за первые два часа не менее чем в полуторном размере, за последующие часы — не менее чем в двойном размере.","Сверхурочная работа оплачивается исходя из размера заработной платы, установленного в соответствии с действующими у данного работодателя системами оплаты труда, включая компенсационные и стимулирующие выплаты, за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. Конкретные размеры оплаты сверхурочной работы могут определяться коллективным договором, соглашением, локальным нормативным актом или трудовым договором. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно, за исключением случаев, предусмотренных настоящим Кодексом.",entailment
E030,art:153:part:1:sub:2,Работа в выходной или нерабочий праздничный день для работника с дневной или часовой тарифной ставкой оплачивается не менее чем в размере двойной дневной или часовой тарифной ставки.,"Работа в выходной или нерабочий праздничный день оплачивается не менее чем в двойном размере: работникам, труд которых оплачивается по дневным и часовым тарифным ставкам, - в размере не менее двойной дневной или часовой тарифной ставки;",entailment
E031,art:168:part:1:sub:1,При направлении в служебную командировку работодатель возмещает работнику расходы по проезду.,В случае направления в служебную командировку работодатель обязан возмещать работнику: расходы по проезду;,entailment
E032,art:180:part:2:sub:0,О предстоящем увольнении в связи с сокращением штата работник предупреждается персонально под роспись не менее чем за два месяца.,"О предстоящем увольнении в связи с ликвидацией организации, сокращением численности или штата работников организации работники предупреждаются работодателем персонально и под роспись не менее чем за два месяца до увольнения.",entailment
E033,art:236:part:1:sub:0,При задержке заработной платы работодатель выплачивает работнику денежную компенсацию не ниже 1/150 ключевой ставки за каждый день задержки.,"При нарушении работодателем установленного срока соответственно выплаты заработной платы, оплаты отпуска, выплат при увольнении и (или) других выплат, причитающихся работнику, работодатель обязан выплатить их с уплатой процентов (денежной компенсации) в размере не ниже одной сто пятидесятой действующей в это время ключевой ставки Центрального банка Российской Федерации от начисленных, но не выплаченных в срок сумм и (или) не начисленных своевременно сумм в случае, если вступившим в законную силу решением суда было признано право работника на получение неначисленных сумм, за каждый день задержки начиная со дня, следующего за днем, в который эти суммы должны были быть выплачены при своевременном их начислении в соответствии с трудовым законодательством и иными нормативными правовыми актами, содержащими нормы трудового права, коллективным договором, соглашением, локальным нормативным актом, трудовым договором, по день фактического расчета включительно. При неполной выплате в установленный срок заработной платы и (или) других выплат, причитающихся работнику, размер процентов (денежной компенсации) исчисляется из фактически не выплаченных в срок сумм.",entailment
E034,art:312.6:part:2:sub:0,"Дистанционному работнику, использующему с ведома работодателя личный ноутбук для работы, выплачивается компенсация за его использование и возмещаются связанные расходы.","Дистанционный работник вправе с согласия или ведома работодателя и в его интересах использовать для выполнения трудовой функции принадлежащие работнику или арендованные им оборудование, программно-технические средства, средства защиты информации и иные средства. При этом работодатель выплачивает дистанционному работнику компенсацию за использование принадлежащих ему или арендованных им оборудования, программно-технических средств, средств защиты информации и иных средств, а также возмещает расходы, связанные с их использованием, в порядке, сроки и размерах, которые определяются коллективным договором, локальным нормативным актом, принятым с учетом мнения выборного органа первичной профсоюзной организации, трудовым договором, дополнительным соглашением к трудовому договору.",entailment
E035,art:91:part:2:sub:0,Нормальная продолжительность рабочего времени работника составляет 30 часов в неделю.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,entailment
E036,art:91:part:2:sub:0,Нормальная продолжительность рабочего времени работника составляет 40 часов в неделю.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,entailment
E037,art:108:part:1:sub:0,"В течение рабочего дня Работнику устанавливается перерыв для отдыха и питания с 12:00 до 13:00, который в рабочее время не включается.","В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается. Правилами внутреннего трудового распорядка или трудовым договором может быть предусмотрено, что указанный перерыв может не предоставляться работнику, если установленная для него продолжительность ежедневной работы (смены) не превышает четырех часов.",entailment
C001,art:58:part:1:sub:2,Срочный трудовой договор заключается на срок шесть лет.,"Трудовые договоры могут заключаться: 2) на определенный срок не более пяти лет (срочный трудовой договор), если иной срок не установлен настоящим Кодексом и иными федеральными законами.",contradiction
C002,art:58:part:6:sub:0,"Срочный договор заключается, чтобы не предоставлять работнику гарантии, предусмотренные для работников по бессрочному договору.","Запрещается заключение срочных трудовых договоров в целях уклонения от предоставления прав и гарантий, предусмотренных для работников, с которыми заключается трудовой договор на неопределенный срок.",contradiction
C003,art:58:part:3:sub:0,"Если срок действия договора не указан, он считается заключенным на один год.","Если в трудовом договоре не оговорен срок его действия, то договор считается заключенным на неопределенный срок.",contradiction
C004,art:70:part:4:sub:2,Беременной работнице устанавливается испытательный срок один месяц.,"Испытание при приеме на работу не устанавливается для: беременных женщин и женщин, имеющих детей в возрасте до полутора лет;",contradiction
C005,art:70:part:4:sub:3,Работнику 17 лет при приеме на работу устанавливается испытательный срок две недели.,"Испытание при приеме на работу не устанавливается для: лиц, не достигших возраста восемнадцати лет;",contradiction
C006,art:70:part:4:sub:4,"Выпускнику аккредитованной программы, впервые поступающему на работу по специальности через шесть месяцев после выпуска, устанавливается испытание два месяца.","Испытание при приеме на работу не устанавливается для: лиц, получивших среднее профессиональное образование или высшее образование по имеющим государственную аккредитацию образовательным программам и впервые поступающих на работу по полученной специальности в течение одного года со дня получения профессионального образования соответствующего уровня;",contradiction
C007,art:70:part:5:sub:0,Специалисту отдела продаж устанавливается испытательный срок четыре месяца.,"Срок испытания не может превышать трех месяцев, а для руководителей организаций и их заместителей, главных бухгалтеров и их заместителей, руководителей филиалов, представительств или иных обособленных структурных подразделений организаций - шести месяцев, если иное не установлено федеральным законом.",contradiction
C008,art:70:part:6:sub:0,При трудовом договоре на четыре месяца испытательный срок составляет один месяц.,При заключении трудового договора на срок от двух до шести месяцев испытание не может превышать двух недель.,contradiction
C009,art:70:part:3:sub:0,В период испытания работник не имеет права на оплату больничных и иные гарантии трудового законодательства.,"В период испытания на работника распространяются положения трудового законодательства и иных нормативных правовых актов, содержащих нормы трудового права, коллективного договора, соглашений, локальных нормативных актов.",contradiction
C010,art:72:part:1:sub:0,Работодатель вправе в одностороннем порядке изменить трудовую функцию работника без письменного соглашения сторон.,"Изменение определенных сторонами условий трудового договора, в том числе перевод на другую работу, допускается только по соглашению сторон трудового договора, за исключением случаев, предусмотренных настоящим Кодексом. Соглашение об изменении определенных сторонами условий трудового договора заключается в письменной форме.",contradiction
C011,art:74:part:2:sub:0,Об изменении условий договора из-за технологических изменений работодатель уведомляет работника за десять календарных дней.,"О предстоящих изменениях определенных сторонами условий трудового договора, а также о причинах, вызвавших необходимость таких изменений, работодатель обязан уведомить работника в письменной форме не позднее чем за два месяца, если иное не предусмотрено настоящим Кодексом.",contradiction
C012,art:80:part:1:sub:0,Работник обязан предупредить работодателя об увольнении по собственному желанию не позднее чем за один месяц.,"Работник имеет право расторгнуть трудовой договор, предупредив об этом работодателя в письменной форме не позднее чем за две недели, если иной срок не установлен настоящим Кодексом или иным федеральным законом. Течение указанного срока начинается на следующий день после получения работодателем заявления работника об увольнении.",contradiction
C013,art:91:part:2:sub:0,Нормальная продолжительность рабочего времени составляет 48 часов в неделю.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,contradiction
C014,art:92:part:1:sub:2,Для работника 17 лет устанавливается рабочая неделя 40 часов.,Сокращенная продолжительность рабочего времени устанавливается: для работников в возрасте от шестнадцати до восемнадцати лет - не более 35 часов в неделю;,contradiction
C015,art:92:part:1:sub:3,"Работнику, являющемуся инвалидом II группы, устанавливается рабочая неделя 40 часов.","Сокращенная продолжительность рабочего времени устанавливается: для работников, являющихся инвалидами I или II группы, - не более 35 часов в неделю;",contradiction
C016,art:93:part:3:sub:0,Работа на условиях неполного рабочего времени уменьшает ежегодный основной оплачиваемый отпуск работника до 14 календарных дней.,"Работа на условиях неполного рабочего времени не влечет для работников каких-либо ограничений продолжительности ежегодного основного оплачиваемого отпуска, исчисления трудового стажа и других трудовых прав.",contradiction
C017,art:94:part:1:sub:1,Работник 15 лет в период каникул может работать смену продолжительностью 8 часов.,"Продолжительность ежедневной работы (смены) не может превышать: для работников (включая лиц, получающих общее образование или среднее профессиональное образование и работающих в период каникул) в возрасте от четырнадцати до пятнадцати лет - 4 часа, в возрасте от пятнадцати до шестнадцати лет - 5 часов, в возрасте от шестнадцати до восемнадцати лет - 7 часов;",contradiction
C018,art:95:part:1:sub:0,Рабочий день перед нерабочим праздничным днем не сокращается.,"Продолжительность рабочего дня или смены, непосредственно предшествующих нерабочему праздничному дню, уменьшается на один час.",contradiction
C019,art:96:part:5:sub:0,Беременная работница может привлекаться к ночной работе при наличии ее письменного согласия.,"К работе в ночное время не допускаются: беременные женщины; работники, не достигшие возраста восемнадцати лет, за исключением лиц, участвующих в создании и (или) исполнении художественных произведений, и других категорий работников в соответствии с настоящим Кодексом и иными федеральными законами. Женщины, имеющие детей в возрасте до трех лет, инвалиды, работники, имеющие детей-инвалидов, а также работники, осуществляющие уход за больными членами их семей в соответствии с медицинским заключением, выданным в порядке, установленном федеральными законами и иными нормативными правовыми актами Российской Федерации, матери и отцы, воспитывающие без супруга (супруги) детей в возрасте до четырнадцати лет, а также опекуны детей указанного возраста, родитель, имеющий ребенка в возрасте до четырнадцати лет, в случае, если другой родитель работает вахтовым методом, а также работники, имеющие трех и более детей в возрасте до восемнадцати лет, в период до достижения младшим из детей возраста четырнадцати лет могут привлекаться к работе в ночное время только с их письменного согласия и при условии, если такая работа не запрещена им по состоянию здоровья в соответствии с медицинским заключением. При этом указанные работники должны быть в письменной форме ознакомлены со своим правом отказаться от работы в ночное время.",contradiction
C020,art:99:part:4:sub:0,Работодатель вправе привлекать работника к сверхурочной работе в обычных производственных ситуациях без письменного согласия работника.,В других случаях привлечение к сверхурочной работе допускается с письменного согласия работника и с учетом мнения выборного органа первичной профсоюзной организации.,contradiction
C021,art:99:part:5:sub:0,Продолжительность сверхурочной работы может составлять до 160 часов в год для каждого работника.,"Продолжительность сверхурочной работы не должна превышать для каждого работника 4 часов в течение двух дней подряд и 120 часов в год, за исключением случаев, предусмотренных настоящим Кодексом.",contradiction
C022,art:108:part:1:sub:0,Перерыв для отдыха и питания составляет 15 минут и не включается в рабочее время.,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается. Правилами внутреннего трудового распорядка или трудовым договором может быть предусмотрено, что указанный перерыв может не предоставляться работнику, если установленная для него продолжительность ежедневной работы (смены) не превышает четырех часов.",contradiction
C023,art:110:part:1:sub:0,Еженедельный непрерывный отдых работника составляет 36 часов.,"Продолжительность еженедельного непрерывного отдыха не может быть менее 42 часов, за исключением случаев, предусмотренных настоящим Кодексом.",contradiction
C024,art:115:part:1:sub:0,Ежегодный основной оплачиваемый отпуск работника составляет 21 календарный день.,Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью 28 календарных дней.,contradiction
C025,art:117:part:2:sub:0,За работу во вредных условиях труда работнику предоставляется дополнительный оплачиваемый отпуск 3 календарных дня.,"Минимальная продолжительность ежегодного дополнительного оплачиваемого отпуска работникам, указанным в части первой настоящей статьи, составляет 7 календарных дней.",contradiction
C026,art:125:part:1:sub:0,Ежегодный отпуск делится на четыре части по 7 календарных дней каждая.,По соглашению между работником и работодателем ежегодный оплачиваемый отпуск может быть разделен на части. При этом хотя бы одна из частей этого отпуска должна быть не менее 14 календарных дней.,contradiction
C027,art:126:part:1:sub:0,По заявлению работника ежегодный основной отпуск 28 календарных дней полностью заменяется денежной компенсацией.,"Часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней, по письменному заявлению работника может быть заменена денежной компенсацией, если иное не предусмотрено настоящим Кодексом.",contradiction
C028,art:136:part:6:sub:0,Заработная плата выплачивается один раз в месяц — 10-го числа.,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретная дата выплаты заработной платы устанавливается правилами внутреннего трудового распорядка, коллективным договором или трудовым договором не позднее 15 календарных дней со дня окончания периода, за который она начислена.",contradiction
C029,art:136:part:9:sub:0,Оплата отпуска производится в первый день отпуска.,Оплата отпуска производится не позднее чем за три дня до его начала.,contradiction
C030,art:138:part:1:sub:0,"Работодатель вправе удерживать до 30% заработной платы работника при каждой выплате для погашения задолженности перед работодателем, если иное не установлено отдельным соглашением.","Общий размер всех удержаний при каждой выплате заработной платы не может превышать 20 процентов, а в случаях, предусмотренных федеральными законами, - 50 процентов заработной платы, причитающейся работнику.",contradiction
C031,art:140:part:1:sub:0,"Все суммы, причитающиеся работнику при увольнении, выплачиваются в течение семи календарных дней после увольнения.","При прекращении трудового договора выплата всех сумм, причитающихся работнику от работодателя, производится в день увольнения работника. Если работник в день увольнения не работал, то соответствующие суммы должны быть выплачены не позднее следующего дня после предъявления уволенным работником требования о расчете.",contradiction
C032,art:236:part:2:sub:0,"При задержке выплаты заработной платы компенсация работнику не выплачивается, если задержка произошла не по вине работодателя.","Размер выплачиваемой работнику денежной компенсации может быть повышен коллективным договором, локальным нормативным актом или трудовым договором. Обязанность по выплате указанной денежной компенсации возникает независимо от наличия вины работодателя.",contradiction
C033,art:259:part:1:sub:0,Беременная работница может направляться в служебные командировки и привлекаться к сверхурочной работе при ее письменном согласии.,"Запрещаются направление в служебные командировки, привлечение к сверхурочной работе, работе в ночное время, выходные и нерабочие праздничные дни беременных женщин.",contradiction
C034,art:284:part:1:sub:0,"Совместитель работает по шесть часов каждый рабочий день, включая дни, когда он занят по основному месту работы.","Продолжительность рабочего времени при работе по совместительству не должна превышать четырех часов в день. В дни, когда по основному месту работы работник свободен от исполнения трудовых обязанностей, он может работать по совместительству полный рабочий день (смену). В течение одного месяца (другого учетного периода) продолжительность рабочего времени при работе по совместительству не должна превышать половины месячной нормы рабочего времени (нормы рабочего времени за другой учетный период), установленной для соответствующей категории работников.",contradiction
C035,art:91:part:2:sub:0,Нормальная продолжительность рабочего времени работника составляет 60 часов в неделю.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,contradiction
C036,art:91:part:2:sub:0,Работнику устанавливается шестидневная рабочая неделя общей продолжительностью 48 часов.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,contradiction
C037,art:99:part:6:sub:0,Работодатель не ведет отдельный учет продолжительности сверхурочной работы.,Работодатель обязан обеспечить точный учет продолжительности сверхурочной работы каждого работника.,contradiction
C038,art:136:part:9:sub:0,Оплата отпуска производится в течение трех дней после начала отпуска.,Оплата отпуска производится не позднее чем за три дня до его начала.,contradiction
C039,art:110:part:1:sub:0,Еженедельный непрерывный отдых работника составляет не менее 24 часов.,"Продолжительность еженедельного непрерывного отдыха не может быть менее 42 часов, за исключением случаев, предусмотренных настоящим Кодексом.",contradiction
C040,art:108:part:1:sub:0,Перерыв для отдыха и питания составляет 10 минут и в рабочее время не включается.,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается. Правилами внутреннего трудового распорядка или трудовым договором может быть предусмотрено, что указанный перерыв может не предоставляться работнику, если установленная для него продолжительность ежедневной работы (смены) не превышает четырех часов.",contradiction
C041,art:4:part:1:sub:0,Работник обязан выполнять порученную работу под угрозой штрафа и иных мер воздействия со стороны работодателя.,Принудительный труд запрещен.,contradiction
N001,art:91:part:2:sub:0,Рабочий день работника начинается в 10:00; конкретное время окончания смены определяется графиком сменности.,Нормальная продолжительность рабочего времени не может превышать 40 часов в неделю.,neutral
N002,art:95:part:1:sub:0,"В день, непосредственно предшествующий обычному выходному дню, работник трудится по стандартному графику.","Продолжительность рабочего дня или смены, непосредственно предшествующих нерабочему праздничному дню, уменьшается на один час.",neutral
N003,art:96:part:1:sub:0,Работнику предоставляется доступ в офис с 07:00 до 22:00.,Ночное время - время с 22 часов до 6 часов.,neutral
N004,art:99:part:1:sub:0,Работник вправе по личной инициативе оставаться после смены для самостоятельного обучения во внутренней системе.,"Сверхурочная работа - работа, выполняемая работником по инициативе работодателя за пределами установленной для работника продолжительности рабочего времени: ежедневной работы (смены), а при суммированном учете рабочего времени - сверх нормального числа рабочих часов за учетный период.",neutral
N005,art:108:part:1:sub:0,Для работников установлен дресс-код: деловой стиль одежды при встречах с клиентами.,"В течение рабочего дня (смены) работнику должен быть предоставлен перерыв для отдыха и питания продолжительностью не более двух часов и не менее 30 минут, который в рабочее время не включается. Правилами внутреннего трудового распорядка или трудовым договором может быть предусмотрено, что указанный перерыв может не предоставляться работнику, если установленная для него продолжительность ежедневной работы (смены) не превышает четырех часов.",neutral
N006,art:110:part:1:sub:0,Работнику предоставляется корпоративная электронная почта для выполнения трудовой функции.,"Продолжительность еженедельного непрерывного отдыха не может быть менее 42 часов, за исключением случаев, предусмотренных настоящим Кодексом.",neutral
N007,art:115:part:1:sub:0,Работнику предоставляется добровольное медицинское страхование после трех месяцев работы.,Ежегодный основной оплачиваемый отпуск предоставляется работникам продолжительностью 28 календарных дней.,neutral
N008,art:117:part:2:sub:0,Работнику устанавливается надбавка за знание английского языка в размере 10% должностного оклада.,"Минимальная продолжительность ежегодного дополнительного оплачиваемого отпуска работникам, указанным в части первой настоящей статьи, составляет 7 календарных дней.",neutral
N009,art:119:part:1:sub:0,Работник ежегодно проходит оценку результатов работы за предыдущий календарный год.,"Работникам с ненормированным рабочим днем предоставляется ежегодный дополнительный оплачиваемый отпуск, продолжительность которого определяется коллективным договором или правилами внутреннего трудового распорядка и который не может быть менее трех календарных дней.",neutral
N010,art:122:part:2:sub:0,Работник может направлять заявление на отпуск через электронную кадровую систему работодателя.,Право на использование отпуска за первый год работы возникает у работника по истечении шести месяцев его непрерывной работы у данного работодателя. По соглашению сторон оплачиваемый отпуск работнику может быть предоставлен и до истечения шести месяцев.,neutral
N011,art:125:part:1:sub:0,График отпусков утверждается работодателем на календарный год.,По соглашению между работником и работодателем ежегодный оплачиваемый отпуск может быть разделен на части. При этом хотя бы одна из частей этого отпуска должна быть не менее 14 календарных дней.,neutral
N012,art:126:part:1:sub:0,Работнику выплачивается квартальная премия при достижении KPI отдела.,"Часть ежегодного оплачиваемого отпуска, превышающая 28 календарных дней, по письменному заявлению работника может быть заменена денежной компенсацией, если иное не предусмотрено настоящим Кодексом.",neutral
N013,art:136:part:6:sub:0,Размер должностного оклада работника составляет 180 000 рублей до удержания НДФЛ.,"Заработная плата выплачивается не реже чем каждые полмесяца. Конкретная дата выплаты заработной платы устанавливается правилами внутреннего трудового распорядка, коллективным договором или трудовым договором не позднее 15 календарных дней со дня окончания периода, за который она начислена.",neutral
N014,art:136:part:9:sub:0,"Работник вправе выбрать банк для перечисления заработной платы, уведомив работодателя письменно.",Оплата отпуска производится не позднее чем за три дня до его начала.,neutral
N015,art:138:part:1:sub:0,Стоимость корпоративного обучения оплачивается работодателем.,"Общий размер всех удержаний при каждой выплате заработной платы не может превышать 20 процентов, а в случаях, предусмотренных федеральными законами, - 50 процентов заработной платы, причитающейся работнику.",neutral
N016,art:140:part:1:sub:0,При увольнении работник обязан вернуть пропуск и корпоративный ноутбук в последний рабочий день.,"При прекращении трудового договора выплата всех сумм, причитающихся работнику от работодателя, производится в день увольнения работника. Если работник в день увольнения не работал, то соответствующие суммы должны быть выплачены не позднее следующего дня после предъявления уволенным работником требования о расчете.",neutral
N017,art:152:part:1:sub:0,За выполнение особо важного проекта работнику может быть выплачена единовременная премия.,"Сверхурочная работа оплачивается исходя из размера заработной платы, установленного в соответствии с действующими у данного работодателя системами оплаты труда, включая компенсационные и стимулирующие выплаты, за первые два часа работы не менее чем в полуторном размере, за последующие часы - не менее чем в двойном размере. Конкретные размеры оплаты сверхурочной работы могут определяться коллективным договором, соглашением, локальным нормативным актом или трудовым договором. По желанию работника сверхурочная работа вместо повышенной оплаты может компенсироваться предоставлением дополнительного времени отдыха, но не менее времени, отработанного сверхурочно, за исключением случаев, предусмотренных настоящим Кодексом.",neutral
N018,art:153:part:1:sub:2,Работнику предоставляется дополнительный оплачиваемый день отдыха за участие в корпоративном донорском дне.,"Работа в выходной или нерабочий праздничный день оплачивается не менее чем в двойном размере: работникам, труд которых оплачивается по дневным и часовым тарифным ставкам, - в размере не менее двойной дневной или часовой тарифной ставки;",neutral
N019,art:168:part:1:sub:3,Размер суточных при командировке по России составляет 1 500 рублей в день.,"В случае направления в служебную командировку работодатель обязан возмещать работнику: дополнительные расходы, связанные с проживанием вне места постоянного жительства (суточные);",neutral
